dataset,variant,harmonic,f0_hz,scan_rate_v_s,reference_relative_strength,resolved,amplitude_nrmse,phase_rmse_rad,peak_shift_v,peak_comparable,common_valid_fraction,independent_potential_intervals,reference_effective_resolution_v,candidate_effective_resolution_v,reference_n_effective,candidate_n_effective
FT3,trim_end_10pct,6,4.999999877927828,0.019508235654342017,0.0018793667252929773,False,0.00396313810536156,0.011783020494377438,0.0,True,0.8755857033875691,27,0.025,0.025,79,71
FT3,trim_end_10pct,7,4.999999877927828,0.019508235654342017,0.0010615102012596466,False,0.007306406200798662,0.03458357653641691,0.0,True,0.8755857033875691,27,0.025,0.025,79,71
FT3,trim_start_10pct,1,4.999999877927828,0.019508235654342017,1.0,True,0.00025568582000797023,0.0004336656311814848,0.0,False,0.875592434454217,27,0.025,0.025,79,71
FT3,trim_start_10pct,2,4.999999877927828,0.019508235654342017,0.2912875179004203,True,0.00014700203953727208,0.0010134845111120245,0.0,True,0.875592434454217,27,0.025,0.025,79,71
FT3,trim_start_10pct,3,4.999999877927828,0.019508235654342017,0.04814030751546991,True,0.0004317760586760119,0.004926168941565047,0.0,True,0.875592434454217,27,0.025,0.025,79,71
FT3,trim_start_10pct,4,4.999999877927828,0.019508235654342017,0.01080579110645468,False,0.0005529127880903749,0.012376170029350557,0.0,True,0.875592434454217,27,0.025,0.025,79,71
FT3,trim_start_10pct,5,4.999999877927828,0.019508235654342017,0.003917108626258727,False,0.0017160201386322098,0.034153436258852206,0.0,True,0.875592434454217,27,0.025,0.025,79,71
FT3,trim_start_10pct,6,4.999999877927828,0.019508235654342017,0.0018793667252929773,False,0.0027446052099124453,0.06554660540035055,0.0,True,0.875592434454217,27,0.025,0.025,79,71
FT3,trim_start_10pct,7,4.999999877927828,0.019508235654342017,0.0010615102012596466,False,0.0053996675462125365,0.024414907881875707,0.0,True,0.875592434454217,27,0.025,0.025,79,71
FT4,downsample_2x,1,1.0000000146486612,0.00390164713091378,1.0,True,2.319444957695095e-05,7.018655334476074e-05,0.0,False,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_2x,2,1.0000000146486612,0.00390164713091378,0.2923893542639525,True,0.0001251143180887739,0.00010610422826414108,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_2x,3,1.0000000146486612,0.00390164713091378,0.05152750586967772,True,0.00020842525780481817,0.0005122585491086541,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_2x,4,1.0000000146486612,0.00390164713091378,0.015974385803829545,False,0.0003283423638187591,0.0007189508932379032,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_2x,5,1.0000000146486612,0.00390164713091378,0.006899271676681366,False,0.000399018866313284,0.0008068822426922805,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_2x,6,1.0000000146486612,0.00390164713091378,0.003634044930946675,False,0.000547098478571545,0.0007084283571552602,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_2x,7,1.0000000146486612,0.00390164713091378,0.0027197878951810395,False,0.0005400648142975422,0.0012526325310529855,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_4x,1,1.0000000146486612,0.00390164713091378,1.0,True,0.000100946223629814,0.0002317641292430819,0.0,False,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_4x,2,1.0000000146486612,0.00390164713091378,0.2923893542639525,True,0.0004573366615354233,0.00034659223115086224,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_4x,3,1.0000000146486612,0.00390164713091378,0.05152750586967772,True,0.0005414228002249065,0.0016074655785719336,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_4x,4,1.0000000146486612,0.00390164713091378,0.015974385803829545,False,0.0004816242992161148,0.0021702106236563584,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_4x,5,1.0000000146486612,0.00390164713091378,0.006899271676681366,False,0.000299342895552006,0.0024142161080626,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_4x,6,1.0000000146486612,0.00390164713091378,0.003634044930946675,False,0.00047071439898968483,0.0021275701412430455,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,downsample_4x,7,1.0000000146486612,0.00390164713091378,0.0027197878951810395,False,0.0005116583859959671,0.0035271552113173596,0.0,True,1.0,31,0.025000000000000005,0.025000000000000005,79,79
FT4,trim_end_10pct,1,1.0000000146486612,0.00390164713091378,1.0,True,0.0009649059236038641,0.0010843202733432909,0.0,False,0.8755856422995902,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_end_10pct,2,1.0000000146486612,0.00390164713091378,0.2923893542639525,True,0.0009689018560064365,0.001984653468935647,0.0,False,0.8755856422995902,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_end_10pct,3,1.0000000146486612,0.00390164713091378,0.05152750586967772,True,0.001490447593231207,0.006892642859528908,0.0,True,0.8755856422995902,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_end_10pct,4,1.0000000146486612,0.00390164713091378,0.015974385803829545,False,0.002612671956830065,0.009058086646307344,0.0,True,0.8755856422995902,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_end_10pct,5,1.0000000146486612,0.00390164713091378,0.006899271676681366,False,0.002904141140658102,0.009912695084490074,0.0,True,0.8755856422995902,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_end_10pct,6,1.0000000146486612,0.00390164713091378,0.003634044930946675,False,0.0050253280483338915,0.008090280290468224,0.0,True,0.8755856422995902,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_end_10pct,7,1.0000000146486612,0.00390164713091378,0.0027197878951810395,False,0.005989827526756707,0.01190658141862066,0.0,True,0.8755856422995902,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_start_10pct,1,1.0000000146486612,0.00390164713091378,1.0,True,0.0002569922604957198,0.0009787154415366777,0.0,False,0.8755923733415246,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_start_10pct,2,1.0000000146486612,0.00390164713091378,0.2923893542639525,True,0.00038343569568192467,0.0016564884559329284,0.0,True,0.8755923733415246,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_start_10pct,3,1.0000000146486612,0.00390164713091378,0.05152750586967772,True,0.0005925261915832114,0.005670211031836273,0.0,True,0.8755923733415246,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_start_10pct,4,1.0000000146486612,0.00390164713091378,0.015974385803829545,False,0.0010707362909037816,0.006506861978231626,0.0,True,0.8755923733415246,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_start_10pct,5,1.0000000146486612,0.00390164713091378,0.006899271676681366,False,0.0015644203565123526,0.022376899088662187,0.0,True,0.8755923733415246,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_start_10pct,6,1.0000000146486612,0.00390164713091378,0.003634044930946675,False,0.0034260462110155925,0.014160626842218839,0.0,True,0.8755923733415246,27,0.025000000000000005,0.025000000000000005,79,71
FT4,trim_start_10pct,7,1.0000000146486612,0.00390164713091378,0.0027197878951810395,False,0.00376877905720703,0.02999977236413243,0.0,True,0.8755923733415246,27,0.025000000000000005,0.025000000000000005,79,71
FT8,downsample_2x,1,4.999999877927828,0.017555080797847462,1.0,True,1.3132986005124249e-05,5.63396121372001e-05,0.0,False,1.0,27,0.025,0.025,71,71
FT8,downsample_2x,2,4.999999877927828,0.017555080797847462,0.3014556028792583,True,0.00011260788421999253,9.368458739511109e-05,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_2x,3,4.999999877927828,0.017555080797847462,0.08082552432139713,True,0.00021278332294002588,0.0002440294531050245,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_2x,4,4.999999877927828,0.017555080797847462,0.034346291025346094,True,0.00038664838691131913,0.0012114612334246445,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_2x,5,4.999999877927828,0.017555080797847462,0.01663490213287984,False,0.0004296282276654794,0.0008565369292705724,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_2x,6,4.999999877927828,0.017555080797847462,0.010058640362732109,False,0.0004945898343145413,0.0017726132840332966,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_2x,7,4.999999877927828,0.017555080797847462,0.006190521374163452,False,0.000477431899177051,0.0012282850336179153,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_4x,1,4.999999877927828,0.017555080797847462,1.0,True,7.309625932768268e-05,0.00018923085884621033,0.0,False,1.0,27,0.025,0.025,71,71
FT8,downsample_4x,2,4.999999877927828,0.017555080797847462,0.3014556028792583,True,0.00041693851913462846,0.00031392869903469986,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_4x,3,4.999999877927828,0.017555080797847462,0.08082552432139713,True,0.0005512285884539355,0.0007129080766561287,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_4x,4,4.999999877927828,0.017555080797847462,0.034346291025346094,True,0.0005607186061340996,0.0027687937021624665,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_4x,5,4.999999877927828,0.017555080797847462,0.01663490213287984,False,0.00022763943129474544,0.002758303345005193,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_4x,6,4.999999877927828,0.017555080797847462,0.010058640362732109,False,0.0001803606848983707,0.004721780046198153,0.0,True,1.0,27,0.025,0.025,71,71
FT8,downsample_4x,7,4.999999877927828,0.017555080797847462,0.006190521374163452,False,0.0002102901102785051,0.0032044465247874645,0.0,True,1.0,27,0.025,0.025,71,71
FT8,trim_end_10pct,1,4.999999877927828,0.017555080797847462,1.0,True,0.0010567242513614611,0.0012406801745176302,0.0,False,0.8720760998694028,24,0.025,0.025,71,64
FT8,trim_end_10pct,2,4.999999877927828,0.017555080797847462,0.3014556028792583,True,0.001503299381490665,0.006965648282994435,0.0,False,0.8720760998694028,24,0.025,0.025,71,64
FT8,trim_end_10pct,3,4.999999877927828,0.017555080797847462,0.08082552432139713,True,0.0017618783709811656,0.005405447060379117,0.0,True,0.8720760998694028,24,0.025,0.025,71,64
FT8,trim_end_10pct,4,4.999999877927828,0.017555080797847462,0.034346291025346094,True,0.002273956527821017,0.014909767185312919,0.0,True,0.8720760998694028,24,0.025,0.025,71,64
FT8,trim_end_10pct,5,4.999999877927828,0.017555080797847462,0.01663490213287984,False,0.0015386996384107357,0.01055863489559513,0.0,True,0.8720760998694028,24,0.025,0.025,71,64
FT8,trim_end_10pct,6,4.999999877927828,0.017555080797847462,0.010058640362732109,False,0.002674549513291625,0.011951571545776744,0.025392523352648633,True,0.8720760998694028,24,0.025,0.025,71,64
FT8,trim_end_10pct,7,4.999999877927828,0.017555080797847462,0.006190521374163452,False,0.0028712162619496085,0.013142654444458342,0.0,True,0.8720760998694028,24,0.025,0.025,71,64
FT8,trim_start_10pct,1,4.999999877927828,0.017555080797847462,1.0,True,0.0003132008255949353,0.00040092284002136123,0.0,False,0.8720836157570936,24,0.025,0.025,71,64
FT8,trim_start_10pct,2,4.999999877927828,0.017555080797847462,0.3014556028792583,True,0.0004066598451021124,0.0014473488327391448,0.0,True,0.8720836157570936,24,0.025,0.025,71,64
FT8,trim_start_10pct,3,4.999999877927828,0.017555080797847462,0.08082552432139713,True,0.0005213420288794279,0.004481675395249671,0.0,True,0.8720836157570936,24,0.025,0.025,71,64
FT8,trim_start_10pct,4,4.999999877927828,0.017555080797847462,0.034346291025346094,True,0.0009015464293731743,0.018098618175157268,0.0,True,0.8720836157570936,24,0.025,0.025,71,64
FT8,trim_start_10pct,5,4.999999877927828,0.017555080797847462,0.01663490213287984,False,0.0007841696653886156,0.022035995905886653,0.0,True,0.8720836157570936,24,0.025,0.025,71,64
FT8,trim_start_10pct,6,4.999999877927828,0.017555080797847462,0.010058640362732109,False,0.0013005325213992826,0.03475891035452878,0.0,True,0.8720836157570936,24,0.025,0.025,71,64
FT8,trim_start_10pct,7,4.999999877927828,0.017555080797847462,0.006190521374163452,False,0.0011752733436423877,0.060180417426099475,0.0,True,0.8720836157570936,24,0.025,0.025,71,64
