feature,parameter,sensitivity,abs_sensitivity,direction
DC shape_raw[66],scaling_OOH_OH,-0.00024152679288001985,0.00024152679288001985,negative
DC shape_raw[66],E0_pre,0.0001530412430047736,0.0001530412430047736,positive
DC shape_raw[66],Cdl,0.11892379220381173,0.11892379220381173,positive
DC shape_raw[66],Ru,-7.457673606522079e-06,7.457673606522079e-06,negative
DC shape_raw[66],A,0.00013167991698408477,0.00013167991698408477,positive
DC shape_raw[67],k0_1,-2.9775787439200232e-05,2.9775787439200232e-05,negative
DC shape_raw[67],k0_2,3.1900385222651545e-08,3.1900385222651545e-08,positive
DC shape_raw[67],k0_3,2.7816975310234063e-05,2.7816975310234063e-05,positive
DC shape_raw[67],k0_4,1.3416227139652855e-08,1.3416227139652855e-08,positive
DC shape_raw[67],k0_pre,2.044991797402379e-06,2.044991797402379e-06,positive
DC shape_raw[67],gamma,6.461514301831352e-05,6.461514301831352e-05,positive
DC shape_raw[67],G_OH,-6.494768192059143e-05,6.494768192059143e-05,negative
DC shape_raw[67],G_O,0.00010726930854666419,0.00010726930854666419,positive
DC shape_raw[67],scaling_OOH_OH,-0.00023613535970638922,0.00023613535970638922,negative
DC shape_raw[67],E0_pre,0.00016235469676916878,0.00016235469676916878,positive
DC shape_raw[67],Cdl,0.12334757295085805,0.12334757295085805,positive
DC shape_raw[67],Ru,-6.8650105512327166e-06,6.8650105512327166e-06,negative
DC shape_raw[67],A,0.00013843394182330775,0.00013843394182330775,positive
DC shape_raw[68],k0_1,-3.0149564104632877e-05,3.0149564104632877e-05,negative
DC shape_raw[68],k0_2,2.253635660579292e-08,2.253635660579292e-08,positive
DC shape_raw[68],k0_3,2.6905011941669053e-05,2.6905011941669053e-05,positive
DC shape_raw[68],k0_4,1.661289356367752e-08,1.661289356367752e-08,positive
DC shape_raw[68],k0_pre,1.7608135072610087e-06,1.7608135072610087e-06,positive
DC shape_raw[68],gamma,6.714806286849954e-05,6.714806286849954e-05,positive
DC shape_raw[68],G_OH,-5.4449129145670496e-05,5.4449129145670496e-05,negative
DC shape_raw[68],G_O,0.00010219272362892059,0.00010219272362892059,positive
DC shape_raw[68],scaling_OOH_OH,-0.00022832073211704918,0.00022832073211704918,negative
DC shape_raw[68],E0_pre,0.00017009935932142816,0.00017009935932142816,positive
DC shape_raw[68],Cdl,0.12649471742470952,0.12649471742470952,positive
DC shape_raw[68],Ru,-6.201151173081133e-06,6.201151173081133e-06,negative
DC shape_raw[68],A,0.0001438413741963245,0.0001438413741963245,positive
DC shape_raw[69],k0_1,-3.023159836339891e-05,3.023159836339891e-05,negative
DC shape_raw[69],k0_2,1.3003844897192237e-08,1.3003844897192237e-08,positive
DC shape_raw[69],k0_3,2.5725109077838147e-05,2.5725109077838147e-05,positive
DC shape_raw[69],k0_4,1.980481770542214e-08,1.980481770542214e-08,positive
DC shape_raw[69],k0_pre,1.4590856973817224e-06,1.4590856973817224e-06,positive
DC shape_raw[69],gamma,6.902440703761913e-05,6.902440703761913e-05,positive
DC shape_raw[69],G_OH,-4.340310007289731e-05,4.340310007289731e-05,negative
DC shape_raw[69],G_O,9.610678893533254e-05,9.610678893533254e-05,positive
DC shape_raw[69],scaling_OOH_OH,-0.00021823375860722884,0.00021823375860722884,negative
DC shape_raw[69],E0_pre,0.0001761987598099085,0.0001761987598099085,positive
DC shape_raw[69],Cdl,0.1283306321988745,0.1283306321988745,positive
DC shape_raw[69],Ru,-5.475476885314128e-06,5.475476885314128e-06,negative
DC shape_raw[69],A,0.00014785264452470102,0.00014785264452470102,positive
DC shape_raw[70],k0_1,-3.0020841015216545e-05,3.0020841015216545e-05,negative
DC shape_raw[70],k0_2,3.4391582129446513e-09,3.4391582129446513e-09,positive
DC shape_raw[70],k0_3,2.4297166171676802e-05,2.4297166171676802e-05,positive
DC shape_raw[70],k0_4,2.296971208195568e-08,2.296971208195568e-08,positive
DC shape_raw[70],k0_pre,1.1427487529334478e-06,1.1427487529334478e-06,positive
DC shape_raw[70],gamma,7.023414145352163e-05,7.023414145352163e-05,positive
DC shape_raw[70],G_OH,-3.1947853487898083e-05,3.1947853487898083e-05,negative
DC shape_raw[70],G_O,8.910150314199648e-05,8.910150314199648e-05,positive
DC shape_raw[70],scaling_OOH_OH,-0.00020604423413988804,0.00020604423413988804,negative
DC shape_raw[70],E0_pre,0.00018059233604640097,0.00018059233604640097,positive
DC shape_raw[70],Cdl,0.12883329600967036,0.12883329600967036,positive
DC shape_raw[70],Ru,-4.697842533280413e-06,4.697842533280413e-06,negative
DC shape_raw[70],A,0.00015043153235916418,0.00015043153235916418,positive
