dataset,dc_nrmse,fail_reason,h2_amp_err,h2_live_fraction,h2_phase_err,h2_weak,h3_amp_err,h3_live_fraction,h3_peak_shift,h3_phase_err,h3_weak,h4_amp_err,h4_live_fraction,h4_phase_err,h4_weak,p_E0_eff,p_gamma,p_k0,p_kf,sample,status,total_nrmse,verdict
FT8,0.00016002814998165448,h3_phase=0.1438;h4_phase=0.4652,0.00442754775081718,1.0,0.03885916774898112,0,0.011337937065130891,1.0,0.0,0.14380881757746944,0,0.01882413711005983,1.0,0.4651574092240556,0,1.7067298070993275,2.699146530958819e-12,0.42048270249885256,130.45297126750717,13,ok,0.0010938193858024735,FAIL
FT2,8.672539671017952e-07,,3.3306136749812696e-05,0.9995372698923649,0.0006912013463027146,0,0.0002903214703625665,0.9967810079468866,0.0,0.005726892987517093,0,0.0008651198758771579,0.9986319283774269,0.006817902795714703,0,1.603648157324642,3.0018933763968095e-09,39.84082273686752,108942.6259960133,14,ok,6.7396967064305855e-06,PASS
FT3,9.783972101282781e-07,,1.1411939059023572e-05,0.9951692765991708,0.0004233691795789696,0,8.036103491888291e-05,0.9913449539068475,0.0,0.0026477321698825666,0,0.0003777373721155626,0.9979469425546476,0.00637469408847835,0,1.603648157324642,3.0018933763968095e-09,39.84082273686752,108942.6259960133,14,ok,1.2084511815380101e-05,PASS
FT4,3.8815543796467965e-07,,1.2198535425867948e-05,1.0,0.0001528973945381651,0,7.731810457237204e-05,0.9987091048448908,0.0,0.002705886729609128,0,0.000268503425553091,0.9998386381056114,0.003717477940027969,0,1.603648157324642,3.0018933763968095e-09,39.84082273686752,108942.6259960133,14,ok,1.1772750240634074e-06,PASS
FT8,9.624803756991162e-07,,1.644230886172013e-05,0.9986230886296108,0.00039638143863884867,0,5.610174376028967e-05,0.9923182839336184,0.0,0.001525990284781731,0,0.00020860579203910314,1.0,0.0019750986046838115,0,1.603648157324642,3.0018933763968095e-09,39.84082273686752,108942.6259960133,14,ok,9.394265442023193e-06,PASS
FT2,0.00010671078955120645,,0.00037263606476460923,0.8716829292827684,0.015269967701351472,0,0.00036684501123517347,0.8753646514435167,7.605076811412204e-06,0.004641378258273043,0,0.0008521353517492734,0.8997283975455186,0.015916331744666667,0,1.5499230262823405,1.8920619744287273e-11,24.316973420827924,17.776500689879235,15,ok,0.0004634259812402695,PASS
FT3,0.000172033262332797,,0.0003784966417557737,0.9670303127893402,0.007400988713010648,0,0.00037850439573518105,0.9289481099794694,0.0,0.013728455444101506,0,0.001103942449046449,0.9401795418863975,0.02587331820361982,0,1.5499230262823405,1.8920619744287273e-11,24.316973420827924,17.776500689879235,15,ok,0.001291240341842652,PASS
FT4,4.030111709546783e-05,,0.0004113288094848008,0.9001169873734317,0.021321896164322597,0,0.0005664655243838062,0.8740973819032636,0.0,0.029035855361938978,0,0.0011778390716381706,0.8846665859857195,0.028117687254827217,0,1.5499230262823405,1.8920619744287273e-11,24.316973420827924,17.776500689879235,15,ok,0.0001420763744256013,PASS
FT8,0.00010974535600608435,,0.00038194314908112005,0.9794187984636568,0.009026226913425361,0,0.0004413879452451764,0.9497065004710487,0.0,0.01545786384960992,0,0.0007266521693888103,0.9470976157692587,0.028237376362961752,0,1.5499230262823405,1.8920619744287273e-11,24.316973420827924,17.776500689879235,15,ok,0.0007091922310184271,PASS
FT2,9.255124925613373e-07,,4.971134364709102e-06,0.9452167789960768,0.00014480468463262675,0,2.5179483450817408e-05,0.9943868826073836,0.0,0.000980957742731721,0,8.24516476210474e-05,0.997585755960165,0.0008216448954612571,0,1.567840322898701,4.085229465677886e-10,60.09707907230484,5107.97643870287,16,ok,8.29405033443877e-06,PASS
FT3,1.0913489658043743e-06,,4.454786663607602e-06,0.9502838049997987,0.0001669977966864966,0,3.980801642879423e-05,0.9976651503562659,0.0,0.0009823350003432818,0,8.701463636700429e-05,0.9958536290809549,0.00244716709518622,0,1.567840322898701,4.085229465677886e-10,60.09707907230484,5107.97643870287,16,ok,1.5162306678105599e-05,PASS
FT4,1.0897900485164807e-07,,2.257538845634354e-06,0.9877364960264633,5.176783031934918e-05,0,1.1650757536419458e-05,0.9958449312194925,0.0,0.00024038050702390734,0,3.470069690178318e-05,0.9984267215297108,0.0007258376749672557,0,1.567840322898701,4.085229465677886e-10,60.09707907230484,5107.97643870287,16,ok,4.3856475160479937e-07,PASS
FT8,1.2256531688950018e-06,,4.811123624382983e-06,0.973838683962606,0.00018090731183528774,0,2.5715931207659e-05,0.9933328502065367,0.0,0.0012662954988904573,0,6.300379985965245e-05,0.9987317921588521,0.0009096105608521476,0,1.567840322898701,4.085229465677886e-10,60.09707907230484,5107.97643870287,16,ok,1.1728968173572397e-05,PASS
FT2,0.00011894630228303581,,0.00033462286321225235,0.5777084800321899,0.004189063030148765,0,0.0007433580200589336,0.6100392314656473,4.563046086758504e-05,0.02999976225205847,0,0.0037582145185071146,0.6763102303591187,0.09732458248022113,0,1.6208858894649893,4.242377881045229e-12,16.32822070161244,876.7305106702482,17,ok,0.0005827205039674791,PASS
FT3,0.0001208194325630628,h4_phase=0.1621,0.0004394613809565577,0.753472082444346,0.019339190461731492,0,0.0013046734775826096,0.8379292299021779,0.0,0.0471832210140124,0,0.003741530105433543,0.9800732659715793,0.1621090349952954,0,1.6208858894649893,4.242377881045229e-12,16.32822070161244,876.7305106702482,17,ok,0.0013469132180224319,FAIL
FT4,2.9361686782039837e-05,h3_phase=0.0702;h4_phase=0.2373,0.0006025150230387714,0.5920771309855177,0.003506275186527574,0,0.0009781835122337375,0.7811529307354068,0.0,0.07024652509425938,0,0.005180337670804604,0.9715196256404051,0.23732893720728016,0,1.6208858894649893,4.242377881045229e-12,16.32822070161244,876.7305106702482,17,ok,5.848153883243182e-05,FAIL
FT8,9.476306757910842e-05,,0.0003991300327640007,0.7633886513515472,0.017014981503058246,0,0.0008730578366625602,0.7879918834698166,0.0,0.04545846059644232,0,0.00339720229395424,0.9674251757373723,0.12449842279058797,0,1.6208858894649893,4.242377881045229e-12,16.32822070161244,876.7305106702482,17,ok,0.0008772223216402626,PASS
FT2,1.240683972817244e-05,,0.0014905160652370231,1.0,0.006570244481976961,0,0.007910560017746343,0.9949703249170103,7.605076811412204e-06,0.007414713434251041,0,0.010736348979357045,0.9955135298259732,0.03513061969118203,0,1.6886408608406782,5.092473857959947e-09,3978.879865552287,448679.1153625785,18,ok,3.182146984236384e-05,PASS
FT3,6.373105317064085e-06,,0.0002991596226802381,1.0,0.001316837169838117,0,0.0015355698723101732,0.9836157964655207,0.0,0.003448744265033943,0,0.004653617551548303,0.9985910390080914,0.006254445520387897,0,1.6886408608406782,5.092473857959947e-09,3978.879865552287,448679.1153625785,18,ok,1.9765912035400816e-05,PASS
FT4,,,,,,,,,,,,,,,,1.6886408608406782,5.092473857959947e-09,3978.879865552287,448679.1153625785,18,REFERENCE_UNAVAILABLE,,PASS
