dataset_id,channel,segment,ensemble_size,valid_candidate_count,signed_mean_median,signed_mean_q25,signed_mean_q75,positive_count,negative_count,direction_class,nearest_candidate_id,nearest_signed_mean,nearest_within_iqr
FT4,lockin_amplitude_h2,mid,12,12,0.024666099406930986,-0.32992615893608307,0.3429242875936773,6,6,candidate-dependent,249,0.15225907353141419,True
FT4,lockin_amplitude_h3,high,12,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h3,low,12,0,,,,0,0,not-observable,249,,
FT4,lockin_amplitude_h3,mid,12,12,-0.025904645551266214,-0.28371080792665093,0.25723968759960103,6,6,candidate-dependent,249,0.006904356904212465,True
FT4,lockin_phase_h1,high,12,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h1,low,12,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h1,mid,12,12,-0.1364795803526757,-0.29446431399645656,0.06830068925601486,4,8,candidate-dependent,249,-0.014195408054752846,True
FT4,lockin_phase_h2,high,12,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h2,low,12,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h2,mid,12,12,0.25554206696837656,0.02694791089935413,0.2918804126175939,9,3,ensemble sign-consistent,249,0.045026399414449504,True
FT4,lockin_phase_h3,high,12,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h3,low,12,0,,,,0,0,not-observable,249,,
FT4,lockin_phase_h3,mid,12,12,-0.01845015982928476,-0.31492237477917673,0.19758537199137682,5,7,candidate-dependent,249,-0.2939855168828243,True
FT8,dc,high,12,12,0.07272055004367027,0.04779707084221929,0.6435558043205453,12,0,ensemble sign-consistent,226,0.04996322962730916,True
FT8,dc,low,12,12,-0.006673158502544459,-0.012401253236630567,-0.002443061990858753,2,10,ensemble sign-consistent,226,-0.006107261898552509,True
FT8,dc,mid,12,12,0.019599832327554766,-0.05801871096503597,0.041088370714640624,7,5,candidate-dependent,226,0.03395558807796117,True
FT8,global_amplitude_h1,global,12,12,0.14190376335088525,-0.15684957424720775,0.43724016017091516,6,6,candidate-dependent,226,0.47912751366215267,False
FT8,global_amplitude_h2,global,12,12,-0.42406559441995645,-0.5581931547584463,-0.03652510638759016,2,10,ensemble sign-consistent,226,0.09195345225314526,False
FT8,global_amplitude_h3,global,12,12,-1.1333825391019337,-2.7428230014451316,-0.642452794951079,0,12,ensemble sign-consistent,226,-0.4345391448956963,False
FT8,global_phase_h1,global,12,12,-0.11505540472778752,-0.6105384693337061,0.41908605244819863,6,6,candidate-dependent,226,0.40737300088202777,True
FT8,global_phase_h2,global,12,12,-0.39968446385833667,-0.7111171457459478,-0.16306883910896833,0,12,ensemble sign-consistent,226,-0.18916527958542173,True
FT8,global_phase_h3,global,12,12,-0.015480397862057016,-0.540520930260016,1.4913716787899114,6,6,candidate-dependent,226,-0.6292086284987977,False
FT8,lockin_amplitude_h1,high,12,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h1,low,12,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h1,mid,12,12,0.0674592520531399,-0.055433812865994705,0.16834794781031467,7,5,candidate-dependent,226,0.2307070446374306,False
FT8,lockin_amplitude_h2,high,12,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h2,low,12,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h2,mid,12,12,-0.23393102182898723,-0.3339079035272054,-0.07044680443876437,3,9,ensemble sign-consistent,226,0.11855342668275322,False
FT8,lockin_amplitude_h3,high,12,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h3,low,12,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h3,mid,12,12,-0.409799374303314,-1.010771365617002,0.04103884982645389,4,8,candidate-dependent,226,0.1380394237729453,False
FT8,lockin_phase_h1,high,12,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h1,low,12,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h1,mid,12,12,-0.24763114164789063,-0.5721896596308482,0.24601685763079867,5,7,candidate-dependent,226,0.26966363653498476,False
FT8,lockin_phase_h2,high,12,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h2,low,12,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h2,mid,12,12,-0.07340368858566965,-0.4187780486857509,0.058544074464636706,5,7,candidate-dependent,226,0.1413836875043498,False
FT8,lockin_phase_h3,high,12,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h3,low,12,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h3,mid,12,12,-0.11550913081031985,-0.30315304749838773,0.013423251960987759,3,9,ensemble sign-consistent,226,-0.055453478716243974,True
