feature,k0_1,k0_2,k0_3,k0_4,k0_pre,gamma,G_OH,G_O,scaling_OOH_OH,E0_pre,Cdl,Ru,A
DC shape[55],-1.4237199340362774e-05,1.4846377897226591e-05,0.03399918704963916,-3.469211534016606e-07,9.514691734954667e-06,0.033498641746206044,0.18928702368882444,-0.18897987234650454,-0.28813279858308927,0.0002234858558624222,-0.09090565502607016,0.001443375275286743,0.014530115269142257
DC shape[56],1.9532990391924242e-05,1.666006467103312e-05,0.03509203323926569,7.159979827687287e-07,7.73931650077389e-07,0.03455563419069922,0.19121173410634587,-0.19107139638259554,-0.2976069328291286,9.35389322929213e-06,-0.21229871627641358,0.0014872296036403986,0.014862429532616515
DC shape[57],1.5731101656982334e-05,1.6790732574816737e-05,0.03613417822717125,-2.155341633356843e-08,-8.342831811186375e-06,0.035642462162564566,0.19293026981472522,-0.1927374103929963,-0.3066781313479988,9.055962054931331e-05,-0.14404232617594914,0.0015369623319462906,0.015412221266641435
DC shape[58],-1.6995238034531663e-05,1.8005061938007343e-05,0.037123418770845205,3.336675472971094e-07,-7.047532094308817e-07,0.03663599691163697,0.19399638607364877,-0.19379603713997798,-0.31531414606852765,0.00020157595801562148,0.004332314060067978,0.0015810201103276912,0.015961751181013645
DC shape[59],-1.6179423578265035e-05,1.9562430530692152e-05,0.03805728519164954,-2.302166631249742e-07,8.031385639972609e-06,0.03749673228951532,0.19439233126565225,-0.1943592262213598,-0.3234732781041052,5.322776885931683e-05,-0.10405929348748387,0.0016148685046696374,0.016267316260114316
DC shape[60],1.552340806717644e-05,2.021536657527254e-05,0.038939887434252425,-1.1927147284320804e-07,1.9554380850646844e-06,0.038342010111969936,0.19462638359451484,-0.1946887241498322,-0.33120597375406086,-0.0001138933456128314,-0.22290539287075742,0.0016487766489313195,0.016498769552284492
DC shape[61],1.7826158677792807e-05,2.1399147384557527e-05,0.03978483562053432,-7.106827016498743e-08,-6.858950253676535e-06,0.039229499152681056,0.19496142095285868,-0.19492979395540866,-0.3386292362762744,-2.8577410003316882e-05,-0.19126298210561213,0.0016884296670864917,0.016917911458612087
DC shape[62],-1.3232537893536578e-05,2.20877919252406e-05,0.04059573149584075,2.9127908814804146e-08,-1.708094359267477e-06,0.040060194486609524,0.1950933722665271,-0.19498491731610207,-0.34577749872919933,0.00013022326547135478,-0.0644585093047602,0.001725280137575883,0.017397678852363548
DC shape[63],-1.7768232680700123e-05,2.3599378916370166e-05,0.0413617623939111,8.981891028260346e-08,7.186703734518322e-06,0.040767372665670674,0.19469511815165869,-0.1947010162593377,-0.35255646131652096,4.8020908881744996e-05,-0.07763114861118593,0.0017532833961326657,0.01766168592058349
DC shape[64],1.2025555803237757e-05,2.395814535052467e-05,0.04207409113228708,-2.0035393813100644e-07,3.3546019214340397e-06,0.04143808098160765,0.19397802891145025,-0.1940709383524517,-0.35887835742859137,-0.00012878175320524558,-0.21003812543760936,0.0017800245876539288,0.017822564845630825
