mode,grid,resolved_grid_size,candidate,candidate_hash,ode_success,total_loss,loss_dc,loss_common_harmonics,loss_dataset_specific_harmonics,loss_phase,loss_lockin_common_amplitude,loss_lockin_dataset_specific_amplitude,loss_lockin_common_phase,loss_lockin_dataset_specific_phase,loss_physical,common_dc_rmse,common_h1_h3_rmse,runtime_s
complex_snr,full,6144,0,6288eb00096df52f01702bfff6520e0301faa8ec76d0df671b2766639e796c69,True,55.36623420005979,442.1928094329749,55.968259373880976,0.0,0.1350389936822729,0.0,0.0,0.0,0.0,0.0,0.4205676209281808,0.4208854135239952,25.356704148000063
complex_snr,full,6144,1,fe5e2d68efbbd427d1e5758f6c4f3fff76ff4b1ff6d997065c8620a8c6d5289d,True,27.854521653975148,110.6565126178852,140.00265215967653,0.0,0.03153010821460628,0.0,0.0,0.0,0.0,0.0,0.21038679865227777,0.42229806907587264,26.249522143999457
complex_snr,full,6144,2,174300ec1a013a591ce646889491b6af4798c8a3cab57da1c85c6b7d1cdfd9af,True,30.32147315890655,121.52439773353643,151.20575702207893,0.0,0.16310367454358354,0.0,0.0,0.0,0.0,0.0,0.2204762098127927,0.5460317163031554,20.67586500699963
complex_snr,full,6144,3,42260e995b534ce1a72018cdffb276d400042f272d0125c313d0428e6f1c7cbf,True,2.9150788264953307,25.638825692064255,0.596580489071798,0.0,0.00030325732192310853,0.0,0.0,0.0,0.0,0.0,0.1012695920640826,0.3605793168874818,25.446609305000493
complex_snr,full,6144,4,ea3512ce51f789191da95b138c6ba1423559a7406013fc7a5b62f3095d81c86f,True,14.710096407534605,30.667500584406564,101.68893145527163,0.0,0.03443562813325708,0.0,0.0,0.0,0.0,0.0,0.1107564907071483,0.476667698041295,34.0329348159994
complex_snr,full,6144,5,26f69229e5b713901edf5ee48e8e2234e3a7299878c7ec280d66e40406739e8f,True,35.077276924075846,262.70161587769,52.97965585131136,0.0,0.01422058768127558,0.0,0.0,0.0,0.0,0.0,0.32416145105653144,0.4169436885393018,24.78503200599971
complex_snr,full,6144,6,7c7bd5d68428a96d517e3371b1ae697721e7575d8615ebaecec06a63b4011794,True,4.821674497107474,2.158462113059394,41.23595896235071,0.0,0.0006493985571643265,0.0,0.0,0.0,0.0,0.0,0.029383411054943194,0.29102799877468544,27.14582093700028
complex_snr,full,6144,7,14e9e552c2e2cd6df3d05527f6cdfe1fd38d2d0f6717d9837208956ec876d28f,True,14.155271272762526,26.397663817673806,100.99349092229406,0.0,0.006286714894882325,0.0,0.0,0.0,0.0,0.0,0.10275731374004247,0.4480942489856537,26.321129896000457
hybrid,128,128,0,6288eb00096df52f01702bfff6520e0301faa8ec76d0df671b2766639e796c69,True,102.01352310067072,438.8056266750193,55.968259373880976,0.0,0.1350389936822729,250.18736875951095,153.45927619765786,8.07540470224463,11.490733204040552,0.0,0.4189537571976265,0.4193819523820274,25.312935468999967
hybrid,128,128,1,fe5e2d68efbbd427d1e5758f6c4f3fff76ff4b1ff6d997065c8620a8c6d5289d,True,95.84999041384795,109.81001831754588,140.00265215967653,0.0,0.03153010821460628,362.11131514271494,233.57662365523333,4.498514206919955,12.619260134326332,0.0,0.20958055092736624,0.4208226293143299,26.663028691000363
hybrid,128,128,2,174300ec1a013a591ce646889491b6af4798c8a3cab57da1c85c6b7d1cdfd9af,True,113.95395159307802,120.78891451622526,151.20575702207893,0.0,0.16310367454358354,415.98252800213317,318.10953276135064,6.176979116534801,13.158749244835674,0.0,0.21980802034159289,0.544398708148605,20.643502792000618
hybrid,128,128,3,42260e995b534ce1a72018cdffb276d400042f272d0125c313d0428e6f1c7cbf,True,85.97570583298887,25.442645221875893,0.596580489071798,0.0,0.00030325732192310853,332.7419354543684,396.75299167568244,6.68146065011238,11.565435748466921,0.0,0.10088140606053406,0.35922698615055393,25.446377858000233
hybrid,128,128,4,ea3512ce51f789191da95b138c6ba1423559a7406013fc7a5b62f3095d81c86f,True,71.92140124834059,30.432859636924917,101.68893145527163,0.0,0.03443562813325708,287.88920133120666,211.21692220879333,2.8279972663617663,13.202263708373708,0.0,0.11033197113606721,0.47496223751604133,33.66809707700031
hybrid,128,128,5,26f69229e5b713901edf5ee48e8e2234e3a7299878c7ec280d66e40406739e8f,True,88.61182726257809,260.6901688946359,52.97965585131136,0.0,0.01422058768127558,282.93059640015446,180.5821377128933,7.127122582618906,13.182543333907732,0.0,0.3229180508393025,0.41538395029296876,24.634186109999973
hybrid,128,128,6,7c7bd5d68428a96d517e3371b1ae697721e7575d8615ebaecec06a63b4011794,True,33.384155016984955,2.1419476961413633,41.23595896235071,0.0,0.0006493985571643265,135.28906443978494,107.86216071898255,3.64763846333346,10.279975473714426,0.0,0.029270788825321147,0.29007487534158405,26.805678303000605
hybrid,128,128,7,14e9e552c2e2cd6df3d05527f6cdfe1fd38d2d0f6717d9837208956ec876d28f,True,81.08448654322949,26.195707144106194,100.99349092229406,0.0,0.006286714894882325,302.38610547329836,282.9703733081517,5.510300877045648,11.698114449274502,0.0,0.10236348400500286,0.4469209603173837,26.293929802000093
