sample,harmonic,lsoda_success,cn_success,lsoda_time_s,cn_time_s,current_nrmse,dc_nrmse,global_relative_strength,global_resolved,lockin_relative_strength,lockin_resolved,global_amplitude_relative_error,global_phase_error_rad,lockin_amplitude_nrmse,lockin_phase_rmse_rad,peak_shift_v
6,7,True,True,5.057148929999983,0.09494064900002286,0.00018703628767684916,4.1676124571923244e-05,0.011072560799190969,False,0.04194777788751682,True,0.006483668762900059,0.0029092554925806975,0.0015733050527790375,0.11529325461569882,0.0
7,1,True,True,5.990621861999983,0.12053343999997423,0.0022376988534582175,7.887337481124449e-05,1.0,True,1.0,True,3.563305877027688e-05,1.416572042667319e-05,4.1028592298775694e-05,3.137758118023921e-05,0.0
7,2,True,True,5.990621861999983,0.12053343999997423,0.0022376988534582175,7.887337481124449e-05,0.012399553013546966,False,0.17452993370965622,True,0.0013556759366498685,0.001423335591092645,9.780164196189812e-05,0.0003190923360016669,0.0
7,3,True,True,5.990621861999983,0.12053343999997423,0.0022376988534582175,7.887337481124449e-05,0.012088415976099583,False,0.09023457967688403,True,0.00010199626807446938,0.00037772576886574427,0.0002992441982109167,0.0007785983227885464,0.0
7,4,True,True,5.990621861999983,0.12053343999997423,0.0022376988534582175,7.887337481124449e-05,0.0005664682970407882,False,0.05719714314634292,True,0.031110136278456973,0.0094433611953042,0.000576092330904002,0.0011306038682249795,0.0
7,5,True,True,5.990621861999983,0.12053343999997423,0.0022376988534582175,7.887337481124449e-05,0.0005036663754621664,False,0.04127416374406651,True,0.01381887511035453,0.030140517799054134,0.0008465290286601391,0.001794928523524926,0.0
7,6,True,True,5.990621861999983,0.12053343999997423,0.0022376988534582175,7.887337481124449e-05,5.166282565337367e-05,False,0.03026360898736573,True,0.004293789393158551,0.2275090603148389,0.0012066987686632378,0.003979822554979689,0.0
7,7,True,True,5.990621861999983,0.12053343999997423,0.0022376988534582175,7.887337481124449e-05,2.9756796587362988e-05,False,0.021933372230005202,True,0.37688130774373935,0.04951310666965685,0.0015770818600514154,0.004877255835992787,0.0
8,1,True,True,6.914297392000009,0.10319172399999843,0.00054776542504304,0.001840439455880307,1.0,True,1.0,True,0.00018685726734211315,4.900368555998957e-05,4.663869714815027e-05,5.098120553004985e-05,0.0
8,2,True,True,6.914297392000009,0.10319172399999843,0.00054776542504304,0.001840439455880307,0.1657115831378654,True,0.5247150835898878,True,0.00040422245512158173,3.061363495193703e-05,0.00016738171006301016,0.744005384222091,0.0
8,3,True,True,6.914297392000009,0.10319172399999843,0.00054776542504304,0.001840439455880307,0.1916849080713118,True,0.36950433580951253,True,0.0005979707624903045,0.0004203962688476004,0.00014584522151808417,1.0805084932190403,0.0
8,4,True,True,6.914297392000009,0.10319172399999843,0.00054776542504304,0.001840439455880307,0.10299424921234092,True,0.43743667396269464,True,0.0008548874209480635,6.116874533201866e-05,0.0003534102824324524,1.1839907306867634,0.0
8,5,True,True,6.914297392000009,0.10319172399999843,0.00054776542504304,0.001840439455880307,0.033029072452502466,True,0.21872148884439105,True,0.002078525230741994,0.00019412029700571765,0.0007062484639805456,1.4336002065865727,0.0
8,6,True,True,6.914297392000009,0.10319172399999843,0.00054776542504304,0.001840439455880307,0.021847669430403664,True,0.220027277478954,True,0.002613363105505161,0.0007952309794454493,0.0007345623002896384,1.3671177692441714,0.0
8,7,True,True,6.914297392000009,0.10319172399999843,0.00054776542504304,0.001840439455880307,0.007946837628237129,False,0.13419386607427342,True,0.0019039747679666479,0.0033622460952515976,0.0013183556541273814,1.2136313076780654,0.0
9,1,True,True,3.8731503699999905,0.08239212299997689,0.00024961620727050624,1.6289647521898587e-05,1.0,True,1.0,True,0.00020826896135005707,1.737597016882031e-06,0.00019370032505058044,3.415431353560779e-05,0.0
9,2,True,True,3.8731503699999905,0.08239212299997689,0.00024961620727050624,1.6289647521898587e-05,0.05515955314297277,True,0.06120407958921337,True,0.0001240139949532625,0.00018936031896155114,0.00010848483790866526,0.17404425582840097,0.0
9,3,True,True,3.8731503699999905,0.08239212299997689,0.00024961620727050624,1.6289647521898587e-05,0.023845542893036878,True,0.026687426597720342,True,0.0004121538983949167,0.0003109226298967372,0.0002508910429798077,0.04484609124413684,0.0
9,4,True,True,3.8731503699999905,0.08239212299997689,0.00024961620727050624,1.6289647521898587e-05,0.008067725674536688,False,0.009197952216793759,False,0.00014261182914606648,0.000703868634657559,0.0009360946201170912,0.10907552877693072,0.0
9,5,True,True,3.8731503699999905,0.08239212299997689,0.00024961620727050624,1.6289647521898587e-05,0.0021986898239628044,False,0.0025851609766216516,False,0.01382139629256124,0.0065961665100844336,0.003716752334340181,0.6382047275220762,0.0
9,6,True,True,3.8731503699999905,0.08239212299997689,0.00024961620727050624,1.6289647521898587e-05,0.0005035211321163307,False,0.0006126964239377253,False,0.0007567842116606293,0.019927219015048795,0.009039023688598291,0.6260282194047235,0.0
9,7,True,True,3.8731503699999905,0.08239212299997689,0.00024961620727050624,1.6289647521898587e-05,9.75776443434975e-05,False,0.00014961031830152674,False,0.0746047571757275,0.0380479924537902,0.0955016516261336,1.3178618278445386,0.0058995462834823265
10,1,True,True,5.229777681000002,0.10899955700000419,2.8984105875394785e-05,1.9027009568556042e-06,1.0,True,1.0,True,7.682239942542725e-08,4.4229865874267915e-06,2.1354395069783276e-06,5.136726474674219e-05,0.0
10,2,True,True,5.229777681000002,0.10899955700000419,2.8984105875394785e-05,1.9027009568556042e-06,0.2128665250262508,True,0.20591616056393697,True,1.528615906152535e-05,2.7866287144462376e-06,3.9060675888232835e-05,0.00022037291869594217,0.0
10,3,True,True,5.229777681000002,0.10899955700000419,2.8984105875394785e-05,1.9027009568556042e-06,0.010693826747241396,False,0.05653705422052027,True,0.0002218278554854182,0.0005221587901065305,0.0002460486835898275,0.00016667272680283927,0.0
10,4,True,True,5.229777681000002,0.10899955700000419,2.8984105875394785e-05,1.9027009568556042e-06,0.00777968902532261,False,0.03144354885286042,True,0.00043006727074876126,0.00028648222935689915,0.00043503263264830973,0.0003668272345279777,0.0
10,5,True,True,5.229777681000002,0.10899955700000419,2.8984105875394785e-05,1.9027009568556042e-06,0.0007335566013302524,False,0.020168843318468386,True,0.0010901796313952923,0.0003949399748397475,0.0007498087922679614,0.000638170475839753,0.0
10,6,True,True,5.229777681000002,0.10899955700000419,2.8984105875394785e-05,1.9027009568556042e-06,0.0008956960897307188,False,0.013510494892361656,False,0.00036934953433129247,0.00012997995821928399,0.0011512375179995127,0.0024160580791371144,0.0
10,7,True,True,5.229777681000002,0.10899955700000419,2.8984105875394785e-05,1.9027009568556042e-06,0.0003201104108183289,False,0.009342211392598493,False,0.002659566658494089,0.004202388421799431,0.0017017928785257152,0.010488581689486383,0.0
11,1,True,True,4.71300700499998,0.09965937399999802,1.1747979642343115e-05,3.017740638706867e-07,1.0,True,1.0,True,1.5409602224830576e-07,3.929147200265603e-06,5.333932985358325e-07,2.7180574384511427e-05,0.0
11,2,True,True,4.71300700499998,0.09965937399999802,1.1747979642343115e-05,3.017740638706867e-07,0.2266740526239057,True,0.20061065302771344,True,1.021133445832628e-06,9.194642023313548e-06,4.055871348438959e-06,2.340224771319896e-05,0.0
11,3,True,True,4.71300700499998,0.09965937399999802,1.1747979642343115e-05,3.017740638706867e-07,0.014865679789014123,False,0.02771210206921262,True,7.206295037884269e-07,8.1967969054908e-05,3.678000654123884e-05,0.00018339951701256768,0.0
