dataset_id,parameter,metric,n,spearman_rho,pvalue,interpretation
FT2,G_O,score,501,0.17871021304005535,5.758093609177868e-05,association_not_causation
FT3,k0_1,dc_nrmse,512,-0.03544490149460409,0.42352669739277854,association_not_causation
FT3,k0_1,global_amplitude_h1,512,0.06372032034996165,0.1499337121519694,association_not_causation
FT3,k0_1,global_amplitude_h2,512,0.024841105331822707,0.5749320053502317,association_not_causation
FT3,k0_1,global_amplitude_h3,512,-0.07043936897037113,0.11139746530529908,association_not_causation
FT3,k0_1,global_phase_h1,512,-0.20190664661081928,4.12526004940926e-06,association_not_causation
FT3,k0_1,global_phase_h2,512,0.16871820676119523,0.0001251263526690418,association_not_causation
FT3,k0_1,global_phase_h3,512,-0.1560245147686568,0.00039481267993381045,association_not_causation
FT3,k0_1,lockin_amplitude_h1,512,0.11699339673384374,0.0080517124174974,association_not_causation
FT3,k0_1,lockin_amplitude_h2,512,0.05343597649946785,0.22742238210700977,association_not_causation
FT3,k0_1,lockin_amplitude_h3,512,-0.004979540031585814,0.9105067050761569,association_not_causation
FT3,k0_1,lockin_peak_shift_h1,512,0.20098532428799654,4.57221210915524e-06,association_not_causation
FT3,k0_1,lockin_peak_shift_h2,512,0.10683672282641597,0.015586536938181041,association_not_causation
FT3,k0_1,lockin_peak_shift_h3,512,0.22647851402617145,2.2242257938961262e-07,association_not_causation
FT3,k0_1,lockin_phase_h1,512,0.02062930585596411,0.6414327112257839,association_not_causation
FT3,k0_1,lockin_phase_h2,512,0.09955620000343324,0.02427220689175064,association_not_causation
FT3,k0_1,lockin_phase_h3,512,0.23237808777079683,1.0477783633142636e-07,association_not_causation
FT3,k0_1,lockin_valid_fraction,512,0.0,1.0,association_not_causation
FT3,k0_1,score,512,0.05773100878307126,0.192165836244641,association_not_causation
FT3,k0_2,dc_nrmse,512,-0.2701476686865566,5.175021517368018e-10,association_not_causation
FT3,k0_2,global_amplitude_h1,512,0.26700178313935524,8.326068012801434e-10,association_not_causation
FT3,k0_2,global_amplitude_h2,512,0.12218358038360741,0.005634602032286203,association_not_causation
FT3,k0_2,global_amplitude_h3,512,0.027107044151474576,0.5405538344765042,association_not_causation
FT3,k0_2,global_phase_h1,512,-0.2527299627493391,6.6691236537110976e-09,association_not_causation
FT3,k0_2,global_phase_h2,512,-0.09660262957622366,0.028842004707972244,association_not_causation
FT3,k0_2,global_phase_h3,512,0.003547324361131138,0.9361809025430855,association_not_causation
FT3,k0_2,lockin_amplitude_h1,512,0.26736173696226867,7.887593599794211e-10,association_not_causation
FT3,k0_2,lockin_amplitude_h2,512,0.19328483165676752,1.060537776345045e-05,association_not_causation
FT3,k0_2,lockin_amplitude_h3,512,0.17470125442029732,7.06821842751948e-05,association_not_causation
FT3,k0_2,lockin_peak_shift_h1,512,-0.22180257069763887,3.9815799504011627e-07,association_not_causation
FT3,k0_2,lockin_peak_shift_h2,512,-0.1214875201214122,0.0059154503355162225,association_not_causation
FT3,k0_2,lockin_peak_shift_h3,512,-0.10116863347020638,0.02205226172223015,association_not_causation
FT3,k0_2,lockin_phase_h1,512,-0.19948665899909593,5.399562152051307e-06,association_not_causation
FT3,k0_2,lockin_phase_h2,512,-0.04405008668932606,0.31984015181027536,association_not_causation
FT3,k0_2,lockin_phase_h3,512,0.1363169982604914,0.0019921176945110358,association_not_causation
FT3,k0_2,lockin_valid_fraction,512,0.0,1.0,association_not_causation
FT3,k0_2,score,512,0.1760315153382994,6.209177297890015e-05,association_not_causation
FT3,k0_3,dc_nrmse,512,-0.40371870028953655,1.7142970611272388e-21,association_not_causation
FT3,k0_3,global_amplitude_h1,512,0.2554335503427519,4.5398865288121515e-09,association_not_causation
FT3,k0_3,global_amplitude_h2,512,0.2171784877433309,6.994473741192399e-07,association_not_causation
FT3,k0_3,global_amplitude_h3,512,-0.08355506345773109,0.0588490855734276,association_not_causation
FT3,k0_3,global_phase_h1,512,-0.32211182207802613,7.972355627799101e-14,association_not_causation
FT3,k0_3,global_phase_h2,512,-0.26442381281399846,1.2237493027290111e-09,association_not_causation
FT3,k0_3,global_phase_h3,512,-0.052780442115562876,0.23318394411355334,association_not_causation
FT3,k0_3,lockin_amplitude_h1,512,0.18605786011833236,2.2675943234244724e-05,association_not_causation
FT3,k0_3,lockin_amplitude_h2,512,0.0069485571806227895,0.8753666086274192,association_not_causation
FT3,k0_3,lockin_amplitude_h3,512,-0.049759726799876405,0.2610645995642101,association_not_causation
FT3,k0_3,lockin_peak_shift_h1,512,-0.32580659223775554,3.986603801888374e-14,association_not_causation
FT3,k0_3,lockin_peak_shift_h2,512,-0.053396238636907185,0.22776873532508335,association_not_causation
FT3,k0_3,lockin_peak_shift_h3,512,-0.005922168830047014,0.893657968665921,association_not_causation
FT3,k0_3,lockin_phase_h1,512,-0.3301901300053788,1.7303913553983792e-14,association_not_causation
FT3,k0_3,lockin_phase_h2,512,-0.41936578389466816,3.16726782912397e-23,association_not_causation
FT3,k0_3,lockin_phase_h3,512,0.06449896859729232,0.14500716236695732,association_not_causation
FT3,k0_3,lockin_valid_fraction,512,0.0,1.0,association_not_causation
FT3,k0_3,score,512,0.07812492538807825,0.07737156789970834,association_not_causation
FT3,G_OH,dc_nrmse,512,0.12020848353761117,0.006464497336531916,association_not_causation
FT3,G_OH,global_amplitude_h1,512,0.1801984627665053,4.112293177566034e-05,association_not_causation
FT3,G_OH,global_amplitude_h2,512,-0.22418694782046442,2.9634165374555986e-07,association_not_causation
FT3,G_OH,global_amplitude_h3,512,0.4488511518522333,9.487944586902469e-27,association_not_causation
FT3,G_OH,global_phase_h1,512,0.24254423515981735,2.729804483977524e-08,association_not_causation
FT3,G_OH,global_phase_h2,512,0.24051898081390688,3.586061441497244e-08,association_not_causation
FT3,G_OH,global_phase_h3,512,0.5388746552454196,6.684620523587062e-40,association_not_causation
FT3,G_OH,lockin_amplitude_h1,512,0.35785176768977234,6.501217326769314e-17,association_not_causation
FT3,G_OH,lockin_amplitude_h2,512,0.5139527257069615,7.351023142374495e-36,association_not_causation
FT3,G_OH,lockin_amplitude_h3,512,0.5430379959602202,1.3078801423852573e-40,association_not_causation
FT3,G_OH,lockin_peak_shift_h1,512,0.07610967871061115,0.08535024985117604,association_not_causation
FT3,G_OH,lockin_peak_shift_h2,512,0.17815883446786537,5.0371246410424e-05,association_not_causation
FT3,G_OH,lockin_peak_shift_h3,512,0.0330519116607044,0.4555131709646404,association_not_causation
FT3,G_OH,lockin_phase_h1,512,-0.04848254340188371,0.2735177686412784,association_not_causation
FT3,G_OH,lockin_phase_h2,512,0.2328794839553221,9.819269387222695e-08,association_not_causation
FT3,G_OH,lockin_phase_h3,512,-0.33704999513624245,4.561542568982032e-15,association_not_causation
FT3,G_OH,lockin_valid_fraction,512,0.0,1.0,association_not_causation
FT3,G_OH,score,512,0.4183440196490583,4.136962144789163e-23,association_not_causation
FT3,G_O,dc_nrmse,512,-0.10406831862761928,0.01850075731655197,association_not_causation
FT3,G_O,global_amplitude_h1,512,0.17780225749876974,5.217766617156924e-05,association_not_causation
FT3,G_O,global_amplitude_h2,512,0.05822114504297273,0.18841242065289202,association_not_causation
FT3,G_O,global_amplitude_h3,512,0.17023875685217607,0.00010841652009185294,association_not_causation
FT3,G_O,global_phase_h1,512,-0.04080281325459768,0.3568471490156571,association_not_causation
FT3,G_O,global_phase_h2,512,0.18650677421292958,2.164838045255894e-05,association_not_causation
FT3,G_O,global_phase_h3,512,0.07073933048946568,0.10987851973514583,association_not_causation
FT3,G_O,lockin_amplitude_h1,512,0.1443590068207047,0.0010541493605201464,association_not_causation
FT3,G_O,lockin_amplitude_h2,512,0.21928805318089745,5.417265210160542e-07,association_not_causation
FT3,G_O,lockin_amplitude_h3,512,0.20472011578604044,3.004363909808198e-06,association_not_causation
FT3,G_O,lockin_peak_shift_h1,512,-0.04213166627254899,0.34138959033630384,association_not_causation
FT3,G_O,lockin_peak_shift_h2,512,-0.042119911201830895,0.34152442701382185,association_not_causation
FT3,G_O,lockin_peak_shift_h3,512,-0.07339715107628597,0.09712246595510449,association_not_causation
FT3,G_O,lockin_phase_h1,512,-0.10195052771769608,0.021040700614913425,association_not_causation
FT3,G_O,lockin_phase_h2,512,0.22382270244675614,3.1008351671972085e-07,association_not_causation
FT3,G_O,lockin_phase_h3,512,-0.051294492652865044,0.24662422505297632,association_not_causation
FT3,G_O,lockin_valid_fraction,512,0.0,1.0,association_not_causation
FT3,G_O,score,512,0.19281133428743372,1.1156557524682292e-05,association_not_causation
FT4,k0_1,dc_nrmse,511,-0.04281325543916196,0.33410438735002873,association_not_causation
FT4,k0_1,global_amplitude_h1,511,0.09954781570162309,0.024424161389708522,association_not_causation
FT4,k0_1,global_amplitude_h2,511,-0.04100110078277885,0.3549857969837838,association_not_causation
FT4,k0_1,global_phase_h1,511,-0.09221151217336249,0.037177782215131114,association_not_causation
FT4,k0_1,global_phase_h2,511,0.18865168498906407,1.765212140823716e-05,association_not_causation
FT4,k0_1,lockin_amplitude_h1,511,0.18021909534361685,4.175844117059428e-05,association_not_causation
FT4,k0_1,lockin_amplitude_h2,511,0.31777287541729016,1.8764503948297392e-13,association_not_causation
FT4,k0_1,lockin_peak_shift_h1,511,0.1338185725927166,0.002435464383664365,association_not_causation
FT4,k0_1,lockin_peak_shift_h2,511,0.15779758239678632,0.000342562390753738,association_not_causation
FT4,k0_1,lockin_phase_h1,511,-0.05620782131345688,0.20462425488195193,association_not_causation
FT4,k0_1,lockin_phase_h2,511,0.33689771713479905,4.9968626672150126e-15,association_not_causation
FT4,k0_1,lockin_valid_fraction,511,0.0,1.0,association_not_causation
FT4,k0_1,score,511,0.35925357930656665,5.1762761245988233e-17,association_not_causation
FT4,k0_2,dc_nrmse,511,-0.29661014662714397,7.747846286132299e-12,association_not_causation
FT4,k0_2,global_amplitude_h1,511,0.11720098998503509,0.008001137299869794,association_not_causation
FT4,k0_2,global_amplitude_h2,511,0.05959992301715206,0.17856992736586946,association_not_causation
FT4,k0_2,global_phase_h1,511,-0.23933589703004485,4.330669922722526e-08,association_not_causation
FT4,k0_2,global_phase_h2,511,-0.158006665851272,0.00033631589688036176,association_not_causation
FT4,k0_2,lockin_amplitude_h1,511,0.17290086839530328,8.546613874623687e-05,association_not_causation
FT4,k0_2,lockin_amplitude_h2,511,0.24574372985495563,1.822695508907794e-08,association_not_causation
FT4,k0_2,lockin_peak_shift_h1,511,-0.20680638288982378,2.4226404459219238e-06,association_not_causation
FT4,k0_2,lockin_peak_shift_h2,511,-0.12841704886919844,0.0036392696738166675,association_not_causation
FT4,k0_2,lockin_phase_h1,511,-0.1925597336537354,1.1689505144261697e-05,association_not_causation
