dataset_id,channel,segment,ensemble_size,valid_candidate_count,signed_mean_median,signed_mean_q25,signed_mean_q75,positive_count,negative_count,direction_class,nearest_candidate_id,nearest_signed_mean,nearest_within_iqr
FT8,dc,mid,1,1,0.033955652426746925,0.033955652426746925,0.033955652426746925,1,0,smoke-only,226,0.033955652426746925,True
FT8,global_amplitude_h1,global,1,1,0.47912771494808337,0.47912771494808337,0.47912771494808337,1,0,smoke-only,226,0.47912771494808337,True
FT8,global_amplitude_h2,global,1,1,0.09195406205634234,0.09195406205634234,0.09195406205634234,1,0,smoke-only,226,0.09195406205634234,True
FT8,global_amplitude_h3,global,1,1,-0.4345387181776308,-0.4345387181776308,-0.4345387181776308,0,1,smoke-only,226,-0.4345387181776308,True
FT8,global_phase_h1,global,1,1,0.4073727717760886,0.4073727717760886,0.4073727717760886,1,0,smoke-only,226,0.4073727717760886,True
FT8,global_phase_h2,global,1,1,-0.1891658102304439,-0.1891658102304439,-0.1891658102304439,0,1,smoke-only,226,-0.1891658102304439,True
FT8,global_phase_h3,global,1,1,-0.629209950330258,-0.629209950330258,-0.629209950330258,0,1,smoke-only,226,-0.629209950330258,True
FT8,lockin_amplitude_h1,high,1,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h1,low,1,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h1,mid,1,1,0.23070712730575108,0.23070712730575108,0.23070712730575108,1,0,smoke-only,226,0.23070712730575108,True
FT8,lockin_amplitude_h2,high,1,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h2,low,1,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h2,mid,1,1,0.11855358413501879,0.11855358413501879,0.11855358413501879,1,0,smoke-only,226,0.11855358413501879,True
FT8,lockin_amplitude_h3,high,1,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h3,low,1,0,,,,0,0,not-observable,226,,
FT8,lockin_amplitude_h3,mid,1,1,0.13803918020471934,0.13803918020471934,0.13803918020471934,1,0,smoke-only,226,0.13803918020471934,True
FT8,lockin_phase_h1,high,1,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h1,low,1,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h1,mid,1,1,0.2696635277098407,0.2696635277098407,0.2696635277098407,1,0,smoke-only,226,0.2696635277098407,True
FT8,lockin_phase_h2,high,1,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h2,low,1,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h2,mid,1,1,0.14138311413272178,0.14138311413272178,0.14138311413272178,1,0,smoke-only,226,0.14138311413272178,True
FT8,lockin_phase_h3,high,1,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h3,low,1,0,,,,0,0,not-observable,226,,
FT8,lockin_phase_h3,mid,1,1,-0.05545316671123233,-0.05545316671123233,-0.05545316671123233,0,1,smoke-only,226,-0.05545316671123233,True
