sample,harmonic,lsoda_success,cn_success,lsoda_time_s,cn_time_s,current_nrmse,dc_nrmse,global_relative_strength,global_resolved,lockin_relative_strength,lockin_resolved,global_amplitude_relative_error,global_phase_error_rad,lockin_amplitude_nrmse,lockin_phase_rmse_rad,peak_shift_v
1,4,True,True,5.266814177000015,0.174574180000036,0.00010732409227016305,2.739059259196593e-06,0.0011666537135141032,False,0.05415347181022806,True,0.000561005861739227,3.418007144517787e-05,0.00018901116073587624,0.001010283110181406,0.0
1,5,True,True,5.266814177000015,0.174574180000036,0.00010732409227016305,2.739059259196593e-06,0.0005291726963152689,False,0.0378979178985663,True,8.338576570531246e-05,0.00042339118793499614,0.00029215947417514626,0.0008915797533942698,0.0
1,6,True,True,5.266814177000015,0.174574180000036,0.00010732409227016305,2.739059259196593e-06,0.0001328751186058448,False,0.02803721596002518,True,0.00018162459026173635,0.0006819969434211925,0.0004375586617475086,0.0013091245977287004,0.0
1,7,True,True,5.266814177000015,0.174574180000036,0.00010732409227016305,2.739059259196593e-06,5.358602950730942e-05,False,0.021361038971508456,True,0.00041230660801527407,0.0009551561521696783,0.00060981057713016,0.0014149918706333772,0.0
2,1,True,True,5.7257692929997575,0.1783446840004217,0.0008338165649817427,9.141078719947145e-05,1.0,True,1.0,True,8.363127826203504e-06,8.944101284269479e-06,1.2748861749393448e-05,3.60996062816662e-05,0.0
2,2,True,True,5.7257692929997575,0.1783446840004217,0.0008338165649817427,9.141078719947145e-05,0.043655473099662036,True,0.22440415905429303,True,3.240406239752729e-05,0.00010397972074380202,2.797621562177661e-05,5.3377970183242745e-05,0.0
2,3,True,True,5.7257692929997575,0.1783446840004217,0.0008338165649817427,9.141078719947145e-05,0.016570250426638598,False,0.11631198216639366,True,0.0004072745999953498,2.8247439649131678e-05,7.99444258035417e-05,0.00014471409668843492,0.0
2,4,True,True,5.7257692929997575,0.1783446840004217,0.0008338165649817427,9.141078719947145e-05,0.0034401751108318977,False,0.07432961542404697,True,2.923699458529449e-05,0.0008885499478392955,0.00016350803207719952,0.0004457180966109944,0.0
2,5,True,True,5.7257692929997575,0.1783446840004217,0.0008338165649817427,9.141078719947145e-05,0.0010179374818430386,False,0.05392161820197621,True,0.0003837493853696473,0.0013077250246342764,0.0002564743267465309,0.000637004525188478,0.0
2,6,True,True,5.7257692929997575,0.1783446840004217,0.0008338165649817427,9.141078719947145e-05,7.217369492008955e-05,False,0.04086784180727549,True,0.0005332900672583532,0.0040433256295500375,0.00037056820593646525,0.008617010260239475,0.0
2,7,True,True,5.7257692929997575,0.1783446840004217,0.0008338165649817427,9.141078719947145e-05,0.00010335980932286026,False,0.03104067612960827,True,0.00667269845865425,0.003620421336845814,0.0004972314577127875,0.013678308398720598,0.0
3,1,True,True,5.294666618000065,0.1711075120001624,5.6295610740721596e-05,1.1638382665880703e-06,1.0,True,1.0,True,4.279229283347962e-06,1.9641944870585348e-07,2.8961401278627967e-06,3.9633151315543566e-06,0.0
3,2,True,True,5.294666618000065,0.1711075120001624,5.6295610740721596e-05,1.1638382665880703e-06,0.06167496017450555,True,0.3706923035033615,True,7.019920006163394e-06,5.389507006592353e-05,2.147384919960754e-05,1.3071404901385174e-05,0.0
3,3,True,True,5.294666618000065,0.1711075120001624,5.6295610740721596e-05,1.1638382665880703e-06,0.03381753474911032,True,0.14898529666528354,True,8.125336386710935e-05,8.518183457750794e-05,7.118108901960767e-05,6.728004054601821e-05,0.0
3,4,True,True,5.294666618000065,0.1711075120001624,5.6295610740721596e-05,1.1638382665880703e-06,0.004324423146799804,False,0.08729373073674819,True,0.00012435288559102645,0.00010938804132631928,0.00015455935420776465,0.001081579667232315,0.0
3,5,True,True,5.294666618000065,0.1711075120001624,5.6295610740721596e-05,1.1638382665880703e-06,0.0010574824942984065,False,0.060207028918469234,True,0.00028909289575194404,6.917499395131532e-05,0.0002417610977478611,0.0004933612974154922,0.0
