profile_id,feature_mode,parameter,truth_id,normalized_coordinate,truth_coordinate,is_truth,physical_value,total_loss,ode_success,tafel_failed,runtime_seconds,dc,common_harmonics,dataset_specific_harmonics,phase,lockin_common_amplitude,lockin_dataset_specific_amplitude,lockin_common_phase,lockin_dataset_specific_phase,physical
hybrid__G_OH,hybrid,G_OH,mixed_b,0.025,0.5999999999999999,False,0.8250000000000001,22.498060332041177,True,False,7.04826219700044,4.990993778177472,13.853804367461738,0.0,0.011592787390011433,88.86097890828378,0.0,4.772931774871257,0.0,4.402163504035953e-08
hybrid__G_OH,hybrid,G_OH,mixed_b,0.05,0.5999999999999999,False,0.8500000000000001,18.537082937547492,True,False,7.258869022996805,3.33050785025615,11.394503719156889,0.0,0.005501410793231928,73.3629232639868,0.0,4.591977860897755,0.0,5.826466312559793e-07
hybrid__G_OH,hybrid,G_OH,mixed_b,0.07500000000000001,0.5999999999999999,False,0.875,13.283912198618399,True,False,7.7291764900001,1.7864816271522967,8.029024496751564,0.0,0.0029992313819100554,52.156740008901174,0.0,4.444313314791785,0.0,2.314113256807852e-06
hybrid__G_OH,hybrid,G_OH,mixed_b,0.1,0.5999999999999999,False,0.9,7.286065714537512,True,False,7.96968225800083,0.6069216779326925,4.136131761270518,0.0,0.0024479437870616677,27.37126302725262,0.0,4.3135554508053335,0.0,8.711639329104404e-06
hybrid__G_OH,hybrid,G_OH,mixed_b,0.125,0.5999999999999999,False,0.925,2.6826454606026706,True,False,7.528766201001417,0.029861489487984456,0.8146283373488167,0.0,0.002805169810162517,8.367027473584443,0.0,4.198884304686051,0.0,2.0528095894961674e-05
hybrid__G_OH,hybrid,G_OH,mixed_b,0.15000000000000002,0.5999999999999999,False,0.9500000000000001,4.55629507625004,True,False,7.460946689003322,0.24844445683262117,0.43275004730709166,0.0,0.0035286705040132966,17.986452769295592,0.0,4.110245914895618,0.0,5.3522415259206877e-05
hybrid__G_OH,hybrid,G_OH,mixed_b,0.17500000000000002,0.5999999999999999,False,0.9750000000000001,21.683257756722515,True,False,7.587225121998927,1.3916829778403443,7.433803264197073,0.0,0.0043381324180737715,95.55004130134606,0.0,4.036263041692404,0.0,0.00016006611861903118
hybrid__G_OH,hybrid,G_OH,mixed_b,0.2,0.5999999999999999,False,1.0,65.1645609699599,True,False,7.530687681995914,3.520992382200742,29.387529467397624,0.0,0.005093253166963894,288.94776765241613,0.0,3.9607994039128482,0.0,0.0006226907051329979
hybrid__G_OH,hybrid,G_OH,mixed_b,0.225,0.5999999999999999,False,1.0250000000000001,145.9793078243122,True,False,8.03611027199804,6.6324706822162,78.12073516985257,0.0,0.00574721643214586,641.2569188213218,0.0,3.8779945968444265,0.0,0.0026726348937346337
hybrid__G_OH,hybrid,G_OH,mixed_b,0.25,0.5999999999999999,False,1.05,275.72462192671503,True,False,8.017742860996805,10.657024326381654,170.29724331522752,0.0,0.0063199904999145014,1193.8517607520478,0.0,3.7979112764275884,0.0,0.012849972990720033
hybrid__G_OH,hybrid,G_OH,mixed_b,0.275,0.5999999999999999,False,1.0750000000000002,466.70040607645007,True,False,8.307725017002667,15.43751060378002,325.40474339153644,0.0,0.006873309123247978,1988.8110089079328,0.0,3.781953771664049,0.0,0.05994039821351994
hybrid__G_OH,hybrid,G_OH,mixed_b,0.30000000000000004,0.5999999999999999,False,1.1,721.7270027109802,True,False,8.489426565996837,20.64448647125689,555.7709456224651,0.0,0.00745175812088156,3028.390616840802,0.0,3.617766325080887,0.0,0.20374653717512345
hybrid__G_OH,hybrid,G_OH,mixed_b,0.325,0.5999999999999999,False,1.125,1014.2201250720433,True,False,9.024817642995913,25.58684062787009,839.6895553373129,0.0,0.007980094944603854,4201.91894760942,0.0,3.4623647113285747,0.0,0.43493697934100833
hybrid__G_OH,hybrid,G_OH,mixed_b,0.35000000000000003,0.5999999999999999,False,1.1500000000000001,1254.724209234411,True,False,8.750244366994593,29.0072240949904,1083.0155203093698,0.0,0.008251403954960186,5157.68506715826,0.0,3.274782093949216,0.0,0.630201111531007
hybrid__G_OH,hybrid,G_OH,mixed_b,0.375,0.5999999999999999,False,1.175,1317.5453561967174,True,False,8.725942185003078,29.482776769495786,1141.1258526526822,0.0,0.008129722316757952,5413.433223673397,0.0,3.0380761793593587,0.0,0.6387219863353557
hybrid__G_OH,hybrid,G_OH,mixed_b,0.4,0.5999999999999999,False,1.2000000000000002,1161.1338002885984,True,False,8.794098712998675,26.748284000525487,970.5535764992105,0.0,0.007565412193239019,4805.224414458974,0.0,2.755397272919125,0.0,0.37976379917039804
hybrid__G_OH,hybrid,G_OH,mixed_b,0.42500000000000004,0.5999999999999999,False,1.225,879.3913731502147,True,False,8.99431316999835,22.03908792278587,690.5188781967936,0.0,0.00638489895460394,3681.9277165895382,0.0,2.3640266958201854,0.0,0.10077144718117013
hybrid__G_OH,hybrid,G_OH,mixed_b,0.45,0.5999999999999999,False,1.25,595.3209368931359,True,False,8.83866209199914,16.780233339628893,430.7891730648641,0.0,0.004588532456611708,2527.179775829226,0.0,1.8453370836307483,0.0,0.005576615872802328
hybrid__G_OH,hybrid,G_OH,mixed_b,0.47500000000000003,0.5999999999999999,False,1.2750000000000001,361.3065032907344,True,False,8.717878664996533,11.825589305412858,242.00790275989394,0.0,0.002664429330271801,1551.340599249846,0.0,1.3557443409519536,0.0,1.636823666188072e-05
hybrid__G_OH,hybrid,G_OH,mixed_b,0.5,0.5999999999999999,False,1.3,187.1574187688138,True,False,8.457552789994224,7.576010988229866,122.20164393666691,0.0,0.0011763623929973304,805.0158167908679,0.0,0.9924043779128955,0.0,4.138799853681756e-05
